Indicator,count,missing_count,missing_percentage,outlier_count,outlier_percentage,mean,median,std,skewness,kurtosis,min,max,q25,q75,outlier_lower_bound,outlier_upper_bound
Year,5546,0,0.0,0,0.0,2013.9793,2014.0,6.0397,0.0004,-1.2031,2004.0,2024.0,2009.0,2019.0,,
Access to electricity (% of population),5249,297,5.36,358,6.46,81.9849,98.4,27.1752,-1.4049,0.622,0.8,100.0,70.4,100.0,26.0,144.4
"Agriculture, forestry, and fishing, value added (% of GDP)",5101,445,8.02,59,1.06,10.467,7.3099,9.761,1.2143,1.3219,0.0115,66.0327,2.4947,16.6071,-18.6741,37.7759
Domestic credit to private sector (% of GDP),4384,1162,20.95,164,2.96,55.9636,43.7229,45.7324,1.3536,1.7921,0.0001,301.0189,21.4674,76.7816,-61.5039,159.7528
Employment in services (% of total employment) (modeled ILO estimate),4926,620,11.18,0,0.0,53.7264,53.7001,17.8246,-0.1463,-0.895,6.643,93.6782,39.4986,68.5298,,
"Foreign direct investment, net inflows (% of GDP)",5071,475,8.56,560,10.1,8.1421,2.7382,57.5492,11.9557,349.0081,-1303.1083,1709.8272,1.398,5.2394,-4.3642,11.0016
GDP per capita (constant 2015 US$),5355,191,3.44,494,8.91,14953.2683,5756.5505,22009.9691,3.0631,14.4773,250.8789,247170.2199,1916.9165,18771.4658,-23364.9074,44053.2898
Individuals using the Internet (% of population),4622,924,16.66,0,0.0,43.3764,39.725,31.0124,0.1868,-1.3429,0.0,100.0,14.0075,71.5851,,
"Industry (including construction), value added (% of GDP)",5108,438,7.9,215,3.88,26.5927,25.1822,11.7935,1.1675,2.5504,2.0863,86.6696,19.1606,32.1381,-0.3056,51.6042
"Services, value added (% of GDP)",5076,470,8.47,93,1.68,55.7558,54.7621,12.3545,0.2647,0.3966,6.4481,96.1626,47.6694,63.8393,23.4146,88.0941
